"Statistic Label","Month","Airports in Ireland","Country","Direction","Flight Type","UNIT","VALUE"
"Passengers","2023 January","Dublin","All Countries","Arrival","Scheduled","Thousand","1056.4"
"Passengers","2023 January","Dublin","All Countries","Departure","Scheduled","Thousand","1014.5"
"Passengers","2023 January","Dublin","Ireland (domestic)","Arrival","Scheduled","Thousand","5.7"
"Passengers","2023 January","Dublin","Ireland (domestic)","Departure","Scheduled","Thousand","3.7"
"Passengers","2023 January","Dublin","Austria","Arrival","Scheduled","Thousand","8.7"
"Passengers","2023 January","Dublin","Austria","Departure","Scheduled","Thousand","7.9"
"Passengers","2023 January","Dublin","Belgium","Arrival","Scheduled","Thousand","17.4"
"Passengers","2023 January","Dublin","Belgium","Departure","Scheduled","Thousand","16.9"
"Passengers","2023 January","Dublin","Bulgaria","Arrival","Scheduled","Thousand","6.1"
"Passengers","2023 January","Dublin","Bulgaria","Departure","Scheduled","Thousand","5.4"
"Passengers","2023 January","Dublin","Croatia","Arrival","Scheduled","Thousand","3.1"
"Passengers","2023 January","Dublin","Croatia","Departure","Scheduled","Thousand","2.7"
"Passengers","2023 January","Dublin","Cyprus","Arrival","Scheduled","Thousand","0.8"
"Passengers","2023 January","Dublin","Cyprus","Departure","Scheduled","Thousand","0.7"
"Passengers","2023 January","Dublin","Czechia","Arrival","Scheduled","Thousand","8.1"
"Passengers","2023 January","Dublin","Czechia","Departure","Scheduled","Thousand","7.5"
"Passengers","2023 January","Dublin","Denmark","Arrival","Scheduled","Thousand","8.6"
"Passengers","2023 January","Dublin","Denmark","Departure","Scheduled","Thousand","8.3"
"Passengers","2023 January","Dublin","Estonia","Arrival","Scheduled","Thousand","1.5"
"Passengers","2023 January","Dublin","Estonia","Departure","Scheduled","Thousand","1.4"
"Passengers","2023 January","Dublin","Finland","Arrival","Scheduled","Thousand","5.1"
"Passengers","2023 January","Dublin","Finland","Departure","Scheduled","Thousand","4.8"
"Passengers","2023 January","Dublin","France","Arrival","Scheduled","Thousand","72.4"
"Passengers","2023 January","Dublin","France","Departure","Scheduled","Thousand","66.2"
"Passengers","2023 January","Dublin","Germany","Arrival","Scheduled","Thousand","63.8"
"Passengers","2023 January","Dublin","Germany","Departure","Scheduled","Thousand","59.8"
"Passengers","2023 January","Dublin","Greece","Arrival","Scheduled","Thousand","2.2"
"Passengers","2023 January","Dublin","Greece","Departure","Scheduled","Thousand","2"
