Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total,day,month,year
Arrival,24925,1687,2456,29068,1,1,2023
Departure,14591,1648,4644,20883,1,1,2023
Arrival,28258,1624,1857,31739,2,1,2023
Departure,13367,1422,6713,21502,2,1,2023
Arrival,22993,1663,2459,27115,3,1,2023
Departure,14179,1652,4621,20452,3,1,2023
Arrival,21850,1886,2833,26569,4,1,2023
Departure,14230,1533,3740,19503,4,1,2023
Arrival,18429,2304,3164,23897,5,1,2023
Departure,14417,1434,3422,19273,5,1,2023
Arrival,19307,2468,3391,25166,6,1,2023
Departure,15155,1684,3308,20147,6,1,2023
Arrival,19863,2885,3456,26204,7,1,2023
Departure,15927,1590,3585,21102,7,1,2023
Arrival,23121,3019,4135,30275,8,1,2023
Departure,18344,2949,4410,25703,8,1,2023
Arrival,17190,3403,4203,24796,9,1,2023
Departure,13750,2286,3384,19420,9,1,2023
Arrival,16424,3419,4169,24012,10,1,2023
Departure,13894,2533,3931,20358,10,1,2023
Arrival,15408,3777,4088,23273,11,1,2023
Departure,14288,2732,4596,21616,11,1,2023
Arrival,15014,3769,4270,23053,12,1,2023
Departure,15030,2686,4797,22513,12,1,2023
Arrival,15451,3834,4362,23647,13,1,2023
Departure,15924,3286,5093,24303,13,1,2023
Arrival,17309,3548,3969,24826,14,1,2023
Departure,17507,3075,5448,26030,14,1,2023
Arrival,20690,3469,3799,27958,15,1,2023
Departure,17647,3631,6205,27483,15,1,2023
Arrival,15596,3389,3432,22417,16,1,2023
Departure,13712,2934,4649,21295,16,1,2023
Arrival,15066,3476,3125,21667,17,1,2023
Departure,18842,2870,4633,26345,17,1,2023
Arrival,15805,3984,3744,23533,18,1,2023
Departure,24707,2837,4046,31590,18,1,2023
Arrival,15193,4444,4389,24026,19,1,2023
Departure,28640,2393,3684,34717,19,1,2023
Arrival,14481,4068,5256,23805,20,1,2023
Departure,31647,1913,2809,36369,20,1,2023
Arrival,13577,2435,5535,21547,21,1,2023
Departure,31799,1036,2422,35257,21,1,2023
Arrival,11142,3126,4307,18575,22,1,2023
Departure,28517,1484,2934,32935,22,1,2023
Arrival,12358,4214,4380,20952,23,1,2023
