Country,Direction,VALUE,year,month,real_number
All Countries,Arrival,1056.4,2023,1,1056400
All Countries,Departure,1014.5,2023,1,1014500
Ireland (domestic),Arrival,5.7,2023,1,5700
Ireland (domestic),Departure,3.7,2023,1,3700
Austria,Arrival,8.7,2023,1,8700
Austria,Departure,7.9,2023,1,7900
Belgium,Arrival,17.4,2023,1,17400
Belgium,Departure,16.9,2023,1,16900
Bulgaria,Arrival,6.1,2023,1,6100
Bulgaria,Departure,5.4,2023,1,5400
Croatia,Arrival,3.1,2023,1,3100
Croatia,Departure,2.7,2023,1,2700
Cyprus,Arrival,0.8,2023,1,800
Cyprus,Departure,0.7,2023,1,700
Czechia,Arrival,8.1,2023,1,8100
Czechia,Departure,7.5,2023,1,7500
Denmark,Arrival,8.6,2023,1,8600
Denmark,Departure,8.3,2023,1,8300
Estonia,Arrival,1.5,2023,1,1500
Estonia,Departure,1.4,2023,1,1400
Finland,Arrival,5.1,2023,1,5100
Finland,Departure,4.8,2023,1,4800
France,Arrival,72.4,2023,1,72400
France,Departure,66.2,2023,1,66200
Germany,Arrival,63.8,2023,1,63800
Germany,Departure,59.8,2023,1,59800
Greece,Arrival,2.2,2023,1,2200
Greece,Departure,2.0,2023,1,2000
Hungary,Arrival,8.6,2023,1,8600
Hungary,Departure,7.7,2023,1,7700
Italy,Arrival,52.6,2023,1,52600
Italy,Departure,47.6,2023,1,47600
Latvia,Arrival,4.6,2023,1,4600
Latvia,Departure,4.4,2023,1,4400
Lithuania,Arrival,10.1,2023,1,10100
Lithuania,Departure,8.8,2023,1,8800
Luxembourg,Arrival,3.5,2023,1,3500
Luxembourg,Departure,3.5,2023,1,3500
Malta,Arrival,2.5,2023,1,2500
Malta,Departure,2.6,2023,1,2600
Netherlands,Arrival,44.8,2023,1,44800
Netherlands,Departure,44.9,2023,1,44900
Poland,Arrival,40.8,2023,1,40800
Poland,Departure,33.9,2023,1,33900
Portugal,Arrival,33.1,2023,1,33100
Portugal,Departure,27.8,2023,1,27800
Romania,Arrival,17.2,2023,1,17200
Romania,Departure,10.9,2023,1,10900
Slovakia,Arrival,5.1,2023,1,5100
Slovakia,Departure,4.4,2023,1,4400
